Id,SalePrice
1461,121359.5104
1462,181460.0316
1463,187184.7405
1464,198605.0704
1465,193351.3643
1466,175455.2476
1467,186740.4081
1468,165147.1383
1469,192133.9865
1470,120000.278
1471,210383.8737
1472,102777.5855
1473,101114.921
1474,143069.2981
1475,117718.7749
1476,375839.0939
1477,246841.8034
1478,280725.1187
1479,278668.8567
1480,435991.9098
1481,347325.9716
1482,198678.9977
1483,176571.5737
1484,161512.8639
1485,181446.4449
1486,194336.9965
1487,319463.1388
1488,223503.9926
1489,192215.1901
1490,244289.6437
1491,186946.9612
1492,85339.75502
1493,177203.1923
1494,261094.0458
1495,271313.8892
1496,250895.3285
1497,172976.8707
1498,158995.1235
1499,165956.4883
1500,150467.1469
1501,173781.5227
1502,148733.5799
1503,259365.0838
1504,237903.8399
1505,228085.2287
1506,198989.3326
1507,260360.9163
1508,204645.4633
1509,161565.695
1510,141826.4719
1511,153474.6357
1512,177438.5521
1513,144712.951
1514,165958.7791
1515,199820.3622
1516,154682.2283
1517,160352.2279
1518,123817.1714
1519,221921.0706
1520,131691.9597
1521,133498.412
1522,173909.5736
1523,110059.8731
1524,122513.2766
1525,121481.0353
1526,106809.2654
1527,107032.3166
1528,135453.4892
1529,151222.9996
1530,186717.1002
1531,131065.7903
1532,94694.75143
1533,161012.9287
1534,124477.7916
1535,147056.7683
1536,111576.8741
1537,63666.92472
1538,168628.012
1539,190302.4856
1540,99869.73128
1541,138525.6966
1542,145597.6533
1543,207594.5777
1544,89604.91016
1545,112406.0376
1546,139969.2322
1547,141937.0193
1548,134136.9053
1549,116053.8087
1550,139414.9417
1551,110480.1366
1552,145087.7166
1553,138436.9839
1554,130862.791
1555,165138.8493
1556,92211.14568
1557,96968.7631
1558,107588.5976
1559,93615.76053
1560,128273.3745
1561,125804.2585
1562,124370.3076
1563,114005.0012
1564,159560.2291
1565,144056.854
1566,226742.4014
1567,75299.72853
1568,228394.297
1569,140363.0665
1570,128858.9406
1571,115240.3542
1572,139702.4328
1573,238380.7747
1574,110371.5552
1575,209980.313
1576,229553.511
1577,178522.6903
1578,144626.8677
1579,140097.0039
